FID,MUN_CD_MUN,MUN_NM_MUN,MUN_UF,MUN_NM_PRE,MUN_SIGLA_,MUN_POPU_2,MUN_ICS,MUN_IFSUTI,MUN_ISCST,MUN_C_GERA,MUN_C_REMA,MUN_EFIC_1,MUN_ICT_FI
5300,4314159,Paverama,RS,Companhia Rio-Grandense de Saneamento,CORSAN,4270,1.65934602245,33.5773548072,64.76329917,230,184,20.146412884,0
5301,4314175,Pedras Altas,RS,Companhia Rio-Grandense de Saneamento,CORSAN,773,33.8541666667,60.0260416667,6.119791667,41,26,36.015625,0
5302,4314209,Pedro Osório,RS,Companhia Rio-Grandense de Saneamento,CORSAN,7500,26.83194083,12.8475551294,60.320504041,405,373,7.708533078,0
5303,4314308,Pejuçara,RS,Companhia Rio-Grandense de Saneamento,CORSAN,2737,18.375748503,1.30988023952,80.314371257,147,146,0.785928144,0
5304,4314407,Pelotas,RS,SANEP - Serviço Autônomo de Abastecimento de Água de Pelotas,SANEP,306193,49,27.0009438491,2.999056151,16534,12058,27.067640035,21
5305,4314423,Picada Café,RS,Prefeitura Municipal de Picada Café,PM,4805,2.01798640053,88.286905023,9.695108576,259,122,52.972143014,0
5306,4314456,Pinhal,RS,Prefeitura Municipal de Pinhal,PM,1336,0,41.8604651163,33.875968992,72,42,40.887596899,24.2635658915
5307,4314464,Pinhal da Serra,RS,Prefeitura Municipal de Pinhal da Serra,PM,483,0.20920502092,3.34728033473,96.443514644,26,25,2.008368201,0
5308,4314472,Pinhal Grande,RS,Prefeitura Municipal de Pinhal Grande,PM,1940,0,7.28232189974,13.034300792,104,38,63.335092348,79.6833773087
5309,4314498,Pinheirinho do Vale,RS,Companhia Rio-Grandense de Saneamento,CORSAN,959,0.87431693989,12.6775956284,86.448087432,51,47,7.606557377,0
5310,4314506,Pinheiro Machado,RS,Prefeitura Municipal de Pinheiro Machado,PM,9988,82.1647587899,10.4762878168,7.358953393,539,505,6.28577269,0
5311,4314548,Pinto Bandeira,RS,Prefeitura Municipal de Pinto Bandeira,PM,2476,2.16962524655,69.7435897436,28.08678501,133,77,41.846153846,0
5312,4314555,Pirapó,RS,Prefeitura Municipal de Pirapó,PM,772,2.8314028314,65.6370656371,31.531531532,41,25,39.382239382,0
5313,4314605,Piratini,RS,Companhia Rio-Grandense de Saneamento,CORSAN,12021,20.6741573034,54.1918755402,25.133967156,649,438,32.515125324,0
5314,4314704,Planalto,RS,Companhia Rio-Grandense de Saneamento,CORSAN,6053,6.2036412677,35.1146325017,58.681726231,326,257,21.068779501,0
5315,4314753,Poço das Antas,RS,Prefeitura Municipal de Poço das Antas,PM,894,0.11614401858,99.8838559814,0,48,19,59.930313589,0
5316,4314779,Pontão,RS,Prefeitura Municipal de Pontão,PM,1610,2.3091725465,12.8287363695,84.862091084,86,80,7.697241822,0
5317,4314787,Ponte Preta,RS,Prefeitura Municipal de Ponte Preta,PM,514,7.421875,52.1484375,40.4296875,27,19,31.2890625,0
5318,4314803,Portão,RS,Companhia Rio-Grandense de Saneamento,CORSAN,27150,43.8993511632,49.727013768,6.373635069,1466,1028,29.836208261,0
5319,4314902,Porto Alegre,RS,Departamento Municipal de Água e Esgoto,DMAE-POA,1445141,52.34404,0.6,0,78037,47200,39.51624333,47.05596
5320,4315008,Porto Lucena,RS,Companhia Rio-Grandense de Saneamento,CORSAN,2330,0.9867009867,22.737022737,76.276276276,125,108,13.642213642,0
5321,4315057,Porto Mauá,RS,Prefeitura Municipal de Porto Mauá,PM,968,5.13626834382,41.2997903564,53.5639413,52,39,24.779874214,0
5322,4315073,Porto Vera Cruz,RS,Prefeitura Municipal de Porto Vera Cruz,PM,427,19.5454545455,33.1818181818,47.272727273,23,18,19.909090909,0
5323,4315107,Porto Xavier,RS,Companhia Rio-Grandense de Saneamento,CORSAN,5330,66.7946257198,16.4299424184,16.775431862,287,259,9.857965451,0
5324,4315131,Pouso Novo,RS,Prefeitura Municipal de Pouso Novo,PM,633,0.3164556962,25.6329113924,74.050632911,34,28,15.379746835,0
5325,4315149,Presidente Lucena,RS,Prefeitura Municipal de Presidente Lucena,PM,1613,7.61085373925,77.763070814,14.626075447,87,46,46.657842488,0
5326,4315156,Progresso,RS,Prefeitura Municipal de Progresso,PM,1934,2.29578216765,48.6919380673,49.012279765,104,73,29.21516284,0
5327,4315172,Protásio Alves,RS,Prefeitura Municipal de Protásio Alves,PM,437,9.36768149883,61.8266978923,28.805620609,23,14,37.096018735,0
5328,4315206,Putinga,RS,Companhia Rio-Grandense de Saneamento,CORSAN,1605,9.44831959417,77.9327837666,12.618896639,86,46,46.75967026,0
5329,4315305,Quaraí,RS,Companhia Rio-Grandense de Saneamento,CORSAN,21875,0,13.195682778,9.075551384,1181,435,63.136133586,77.7287658376
5330,4315313,Quatro Irmãos,RS,Prefeitura Municipal de Quatro Irmãos,PM,951,0.32751091703,88.7554585153,10.917030568,51,24,53.253275109,0
5331,4315321,Quevedos,RS,Prefeitura Municipal de Quevedos,PM,882,0.82159624413,30.2816901408,68.896713615,47,38,18.169014084,0
5332,4315354,Quinze de Novembro,RS,Prefeitura Municipal de Quinze de Novembro,PM,2037,21.2646608873,10.8108108108,67.924528302,109,102,6.486486486,0
5333,4315404,Redentora,RS,Companhia Rio-Grandense de Saneamento,CORSAN,3185,4.33044636909,6.16255829447,89.506995336,171,165,3.697534977,0
5334,4315453,Relvado,RS,Prefeitura Municipal de Relvado,PM,751,5.44959128065,94.4141689373,0.136239782,40,17,56.648501362,0
5335,4315503,Restinga Seca,RS,Companhia Rio-Grandense de Saneamento,CORSAN,9270,20.4186150078,33.4112669784,46.170118014,500,400,20.046760187,0
